"Google Analytics Verifier","Google Analytics Verifier"
"HTML Head","HTML Head"
"Verification Code","Verification Code"
"Lizard Media Google Analytics Verifier","Lizard Media Google Analytics Verifier"
"Any number of verification codes can be pasted. Everything will be included in the head tag","Any number of verification codes can be pasted. Everything will be included in the head tag"
"File content","File content"
"File name","File name"
"Verification files","Verification files"
"Verification file","Verification file"
"File name indicates the name of the file to put on the server, e.g. putting ""google853759739573.html"" will make the content available at ""/google853759739573.html"" and File content is what will be displayed after accessing the URL","File name indicates the name of the file to put on the server, e.g. putting ""google853759739573.html"" will make the content available at ""/google853759739573.html"" and File content is what will be displayed after accessing the URL"
"Requested verification file was not found","Requested verification file was not found"
